Wavelength (microns),Irradiance (Watts/m^2/micron)
4.435,56420.0
4.445,55920.0
4.455,55420.0
4.465,54920.0
4.475,54420.0
4.485,54020.00000000001
4.495,53430.0
4.505,52930.0
4.515,52530.0
4.525,51930.0
4.535,51530.00000000001
4.545,51030.0
4.555,50630.00000000001
4.565,50130.0
4.575,49630.00000000001
4.585,49330.0
4.595,48730.00000000001
4.605,48330.00000000001
4.615,48030.0
4.625,47530.0
4.635,47030.00000000001
4.645,46730.0
4.655,46240.00000000001
4.665,45840.00000000001
4.675,45439.99999999999
4.685,45039.99999999999
4.695,44640.0
4.705,44339.99999999999
4.715,43840.00000000001
4.725,43440.00000000001
4.735,43140.0
4.745,42840.00000000001
4.755,42440.00000000001
4.765,42039.99999999999
4.775,41639.99999999999
4.785,41340.00000000001
4.795,40939.99999999999
4.805,40740.00000000001
4.815,40240.0
4.825,39840.00000000001
4.835,39640.0
4.845,39340.0
4.855,38850.0
4.865,38550.0
4.875,38250.0
4.885,37950.0
4.895,37650.0
4.905,37450.00000000001
4.915,37049.99999999999
4.925,36650.0
4.935,36350.0
4.945,36150.0
4.955,35850.0
4.965,35450.00000000001
4.975,35150.0
4.985,34950.0
4.995,34650.0
5.005,34650.0
5.015,34350.0
5.025,33950.00000000001
5.035,33750.0
