wavelength (nm),c_extinction,c_scattering,kappa,g,P_max,Thetmax
14400.0,6.6828,2.0851,2.8012e+16,0.30368,0.95982,96.0
14500.0,6.4005,2.0384,2.6828e+16,0.30112,0.9615,96.0
14600.0,6.1291,1.9917,2.5691e+16,0.29845,0.96313,96.0
14700.0,5.8688,1.943,2.46e+16,0.29561,0.96477,96.0
14800.0,5.6237,1.8902,2.3572e+16,0.29254,0.96648,96.0
14900.0,5.3946,1.8352,2.2612e+16,0.2893,0.9682,96.0
15000.0,5.1798,1.7795,2.1712e+16,0.28594,0.9699,96.0
15100.0,4.9777,1.7252,2.0865e+16,0.28256,0.9715,96.0
15200.0,4.7889,1.6727,2.0073e+16,0.27916,0.973,96.0
15300.0,4.6137,1.6215,1.9339e+16,0.27574,0.97442,96.0
15400.0,4.4536,1.5715,1.8668e+16,0.2723,0.97576,96.0
15500.0,4.3062,1.5234,1.805e+16,0.26889,0.97701,96.0
15600.0,4.1712,1.4773,1.7484e+16,0.2655,0.97817,96.0
15700.0,4.0485,1.4342,1.697e+16,0.26219,0.97925,95.0
15800.0,3.9345,1.3931,1.6492e+16,0.25892,0.98034,95.0
15900.0,3.8288,1.3538,1.6049e+16,0.25571,0.98134,95.0
16000.0,3.7255,1.3151,1.5616e+16,0.25251,0.9823,95.0
16100.000000000002,3.6301,1.2783,1.5216e+16,0.24938,0.98318,95.0
16200.0,3.5432,1.2436,1.4852e+16,0.24631,0.98399,95.0
16300.0,3.4734,1.2117,1.4559e+16,0.24333,0.98472,95.0
16400.0,3.4101,1.1825,1.4294e+16,0.24044,0.98536,95.0
16500.0,3.3506,1.1556,1.4044e+16,0.23766,0.98594,95.0
16600.0,3.2897,1.1318,1.3789e+16,0.235,0.98643,95.0
16700.0,3.2242,1.1098,1.3515e+16,0.23242,0.98688,95.0
16800.0,3.1553,1.0888,1.3226e+16,0.22991,0.9873,95.0
16900.0,3.0803,1.0687,1.2911e+16,0.22745,0.98768,95.0
17000.0,2.9993,1.0483,1.2572e+16,0.225,0.98812,94.0
