Wavelengths (microns),C_extinction,C_scattering,kappa,g,Pmax,Thetmax
10.5,3.1993,0.35797,1.341e+16,0.41324,0.99294,92.0
10.6,3.6816,0.35421,1.5432e+16,0.40514,0.99266,91.0
10.7,4.2918,0.39268,1.799e+16,0.3976,0.99158,91.0
10.8,4.9854,0.47047,2.0897e+16,0.39084,0.98972,90.0
10.9,5.7287,0.58028,2.4012e+16,0.3848,0.98741,90.0
11.0,6.4575,0.70922,2.7067e+16,0.37947,0.98456,90.0
11.1,7.1337,0.84635,2.9902e+16,0.37477,0.9814,90.0
11.2,7.7131,0.97837,3.233e+16,0.37062,0.97821,90.0
11.3,8.2186,1.1056,3.4449e+16,0.36682,0.975,90.0
11.4,8.6492,1.2233,3.6254e+16,0.36318,0.97195,90.0
11.5,9.0192,1.3339,3.7805e+16,0.35977,0.96897,90.0
11.6,9.3355,1.4375,3.9131e+16,0.35653,0.96608,90.0
11.7,9.6114,1.5364,4.0287e+16,0.35345,0.96343,91.0
11.8,9.8636,1.6335,4.1345e+16,0.35045,0.96081,91.0
11.9,10.08,1.7256,4.225e+16,0.34759,0.95827,91.0
12.0,10.247,1.8103,4.2951e+16,0.34498,0.95587,91.0
12.1,10.366,1.8872,4.3451e+16,0.34259,0.95371,92.0
12.2,10.448,1.9583,4.3795e+16,0.3404,0.95187,92.0
12.3,10.501,2.0242,4.4015e+16,0.33834,0.95013,92.0
12.4,10.518,2.0835,4.4089e+16,0.33643,0.94855,92.0
12.5,10.495,2.1338,4.3991e+16,0.33469,0.94746,93.0
12.6,10.441,2.1775,4.3764e+16,0.33306,0.94658,93.0
12.7,10.36,2.2161,4.3426e+16,0.33156,0.94581,93.0
12.8,10.259,2.2501,4.3003e+16,0.33014,0.94531,94.0
12.9,10.138,2.2789,4.2493e+16,0.32878,0.94507,94.0
13.0,10.0,2.3027,4.1918e+16,0.32743,0.94493,94.0
13.1,9.8403,2.3193,4.1247e+16,0.32609,0.94497,94.0
13.2,9.6464,2.3261,4.0434e+16,0.3248,0.94556,95.0
13.3,9.4294,2.3253,3.9524e+16,0.32348,0.94634,95.0
13.4,9.2001,2.3191,3.8563e+16,0.3221,0.94723,95.0
13.5,8.9824,2.3107,3.7651e+16,0.32054,0.94812,95.0
13.6,8.761,2.2995,3.6723e+16,0.31892,0.94912,96.0
13.7,8.5356,2.2866,3.5778e+16,0.31728,0.95023,96.0
13.8,8.3018,2.2721,3.4798e+16,0.31564,0.95133,96.0
13.9,8.0587,2.2542,3.3779e+16,0.31395,0.95248,96.0
14.0,7.8007,2.232,3.2698e+16,0.31222,0.95371,96.0
14.1,7.5323,2.2044,3.1573e+16,0.31036,0.95504,96.0
14.2,7.2544,2.1711,3.0408e+16,0.30835,0.95649,96.0
14.3,6.9682,2.1298,2.9208e+16,0.3061,0.95813,96.0
14.4,6.6828,2.0851,2.8012e+16,0.30368,0.95982,96.0
14.5,6.4005,2.0384,2.6828e+16,0.30112,0.9615,96.0
14.6,6.1291,1.9917,2.5691e+16,0.29845,0.96313,96.0
14.7,5.8688,1.943,2.46e+16,0.29561,0.96477,96.0
14.8,5.6237,1.8902,2.3572e+16,0.29254,0.96648,96.0
14.9,5.3946,1.8352,2.2612e+16,0.2893,0.9682,96.0
15.0,5.1798,1.7795,2.1712e+16,0.28594,0.9699,96.0
15.1,4.9777,1.7252,2.0865e+16,0.28256,0.9715,96.0
15.2,4.7889,1.6727,2.0073e+16,0.27916,0.973,96.0
15.3,4.6137,1.6215,1.9339e+16,0.27574,0.97442,96.0
15.4,4.4536,1.5715,1.8668e+16,0.2723,0.97576,96.0
15.5,4.3062,1.5234,1.805e+16,0.26889,0.97701,96.0
15.6,4.1712,1.4773,1.7484e+16,0.2655,0.97817,96.0
15.7,4.0485,1.4342,1.697e+16,0.26219,0.97925,95.0
15.8,3.9345,1.3931,1.6492e+16,0.25892,0.98034,95.0
